item_id,hall,station,item_name,dietary_tags,meal_periods_served,calories
WST-007,West Campus Dining,Global Bowl,Brown Rice Buddha Bowl,"vegetarian,vegan,gluten_free","lunch,dinner",340
WST-008,West Campus Dining,Grill,Classic Burger,none,lunch,590
WST-009,West Campus Dining,Soup,Tomato Bisque,"vegetarian,vegan,gluten_free","lunch,dinner",160
WST-010,West Campus Dining,Grill,Grilled Salmon,gluten_free,dinner,400
WST-011,West Campus Dining,Sides,Sweet Potato Fries,"vegetarian,vegan,gluten_free","lunch,dinner",230
WST-012,West Campus Dining,Dessert,Fruit Crumble,vegetarian,dinner,290
STU-001,Stuvi2 / towers,Express,Breakfast Sandwich,none,breakfast,380
STU-002,Stuvi2 / towers,Express,Vegan Breakfast Wrap,"vegetarian,vegan",breakfast,320
STU-003,Stuvi2 / towers,Express,Halal Omelette,halal,breakfast,250
STU-004,Stuvi2 / towers,Grab & Go,Greek Salad,"vegetarian,gluten_free",lunch,220
STU-005,Stuvi2 / towers,Grab & Go,Halal Chicken Wrap,halal,lunch,490
STU-006,Stuvi2 / towers,Grab & Go,Hummus & Veggie Wrap,"vegetarian,vegan",lunch,370
STU-007,Stuvi2 / towers,Hot Line,Pasta Primavera,"vegetarian,vegan","lunch,dinner",410
STU-008,Stuvi2 / towers,Hot Line,Halal Beef Stew,"halal,gluten_free",dinner,470
STU-009,Stuvi2 / towers,Hot Line,Roasted Chicken Thigh,"halal,gluten_free",dinner,400
STU-010,Stuvi2 / towers,Sides,Steamed Broccoli,"vegetarian,vegan,gluten_free","lunch,dinner",60
STU-011,Stuvi2 / towers,Dessert,Brownie,vegetarian,"lunch,dinner",310
SAR-001,Sargent Choice Café,Wellness,Acai Bowl,"vegetarian,vegan,gluten_free",breakfast,340
SAR-002,Sargent Choice Café,Wellness,Green Smoothie,"vegetarian,vegan,gluten_free",breakfast,180
SAR-003,Sargent Choice Café,Wellness,Chia Pudding,"vegetarian,vegan,gluten_free",breakfast,210
SAR-004,Sargent Choice Café,Café,Quinoa Power Bowl,"vegetarian,vegan,gluten_free",lunch,430
SAR-005,Sargent Choice Café,Café,Grilled Chicken Salad,"halal,gluten_free",lunch,380
SAR-006,Sargent Choice Café,Café,Lentil & Kale Soup,"vegetarian,vegan,gluten_free","lunch,dinner",190
SAR-007,Sargent Choice Café,Café,Turkey Avocado Wrap,none,lunch,460
SAR-008,Sargent Choice Café,Wellness,Salmon & Quinoa Bowl,gluten_free,dinner,490
SAR-009,Sargent Choice Café,Wellness,Vegan Buddha Bowl,"vegetarian,vegan,gluten_free",dinner,360
SAR-010,Sargent Choice Café,Café,Halal Grilled Chicken Bowl,"halal,gluten_free",dinner,440
